Country,Datetime (UTC),Datetime (Local),Price (EUR/MWhe),Price_MAD_kWh,Hour,DayOfWeek,Month
Netherlands,12/04/2024 23:00,2024-04-13 01:00:00,44.15,0.4790275,1,5,4
Netherlands,2018-09-30 19:00:00,2018-09-30 21:00:00,65.31,0.7086135,21,6,9
Netherlands,2017-11-24 00:00:00,2017-11-24 01:00:00,39.83,0.43215549999999997,1,4,11
Netherlands,2021-08-13 16:00:00,2021-08-13 18:00:00,104.91,1.1382735,18,4,8
Netherlands,2016-06-30 18:00:00,2016-06-30 20:00:00,34.91,0.37877349999999993,20,3,6
Netherlands,2016-05-10 14:00:00,2016-05-10 16:00:00,29.94,0.324849,16,1,5
Netherlands,2019-09-13 00:00:00,2019-09-13 02:00:00,27.11,0.29414349999999995,2,4,9
Netherlands,2022-11-09 04:00:00,2022-11-09 05:00:00,72.16,0.782936,5,2,11
Netherlands,22/11/2023 06:00,2023-11-22 07:00:00,140.55,1.5249675,7,2,11
Netherlands,2018-06-16 22:00:00,2018-06-17 00:00:00,41.57,0.4510345,0,6,6
Netherlands,2016-05-16 10:00:00,2016-05-16 12:00:00,24.99,0.2711414999999999,12,0,5
Netherlands,2022-01-30 05:00:00,2022-01-30 06:00:00,114.93,1.2469905000000001,6,6,1
Netherlands,2016-08-20 02:00:00,2016-08-20 04:00:00,22.32,0.242172,4,5,8
Netherlands,2019-11-09 00:00:00,2019-11-09 01:00:00,39.78,0.431613,1,5,11
Netherlands,2019-10-20 00:00:00,2019-10-20 02:00:00,27.01,0.2930585,2,6,10
Netherlands,2015-11-15 21:00:00,2015-11-15 22:00:00,33.7,0.36564500000000005,22,6,11
Netherlands,22/04/2024 17:00,2024-04-22 19:00:00,136.12,1.476902,19,0,4
Netherlands,2020-03-27 06:00:00,2020-03-27 07:00:00,26.95,0.2924075,7,4,3
Netherlands,2015-06-04 19:00:00,2015-06-04 21:00:00,38.94,0.42249899999999996,21,3,6
Netherlands,2019-11-25 07:00:00,2019-11-25 08:00:00,58.37,0.6333145,8,0,11
Netherlands,2015-06-14 08:00:00,2015-06-14 10:00:00,26.84,0.291214,10,6,6
