,Load_MW
0,1.2751408390410959
1,1.1424855878995437
2,1.3344286244292238
3,1.2662379566210047
4,1.4116431506849314
5,2.2376591894977174
6,0.838028710045662
7,0.7163979452054794
8,1.1994229166666668
9,1.26358575913242
10,1.674426312785388
11,1.0191125
12,1.4568282534246575
13,1.310080964611872
14,2.0636416952054795
15,1.2217599029680366
16,1.3059090753424656
17,1.2325301369863013
18,1.9873490867579908
19,0.8378771689497717
20,1.3423899257990868
21,0.903816095890411
22,0.9018557933789954
23,1.9604893835616437
